1,vaKpwybBhArfuRcRuOHeL,0.19047619047619047
2,!apREvFSrqgjXbFPHiPBY,0.19047619047619047
134,Happy birthdaS, filew,0.9047619047619048
135,Happy birthdaS, filew,0.9047619047619048
136,Happy birthdaS, filew,0.9047619047619048
137,Happy birthdaz, filew,0.9047619047619048
138,Happy birthdaS, filew,0.9047619047619048
139,Happy birthdaS, filew,0.9047619047619048
140,Happy birthdaS, filew,0.9047619047619048
141,Happy birthdaS, filew,0.9047619047619048
142,Happy birthdaS, filew,0.9047619047619048
143,Happy birthdaS, filew,0.9047619047619048
144,Happy birthdaS, filew,0.9047619047619048
145,Happy birthdaS, filew,0.9047619047619048
146,Happy birthdaS, filew,0.9047619047619048
147,Happy birthdaS, filew,0.9047619047619048
148,Happy birthdaS, filew,0.9047619047619048
149,Happy birthdaf, filew,0.9047619047619048
150,Happy birthdaS, filew,0.9047619047619048
151,Happy birthdaf, filew,0.9047619047619048
152,Happy birthdaf, filew,0.9047619047619048
153,Happy birthdaz, filew,0.9047619047619048
154,Happy birthdaz, filew,0.9047619047619048
155,Happy birthdaf, filew,0.9047619047619048
156,Happy birthdaS, filew,0.9047619047619048
157,Happy birthdaz, filew,0.9047619047619048
158,Happy birthdak, filew,0.9047619047619048
159,Happy birthdaS, filew,0.9047619047619048
160,Happy birthdaz, fileJ,0.9047619047619048
161,Happy birthdaz, filew,0.9047619047619048
162,Happy birthdaz, filew,0.9047619047619048
163,Happy birthdaz, filew,0.9047619047619048
164,Happy birthdak, filew,0.9047619047619048
165,Happy birthdaz, filew,0.9047619047619048
166,Happy birthdaz, filew,0.9047619047619048
167,Happy birthdaz, filew,0.9047619047619048
168,Happy birthdaz, filew,0.9047619047619048
169,Happy birthdaz, filew,0.9047619047619048
170,Happy birthdaz, filew,0.9047619047619048
171,Happy birthdaf, filew,0.9047619047619048
172,Happy birthdaS, filew,0.9047619047619048
173,Happy birthdaf, file!,0.9523809523809523
174,Happy birthdaz, filew,0.9047619047619048
175,Happy birthdak, filew,0.9047619047619048
176,Happy birthdak, filew,0.9047619047619048
177,Happy birthdaz, file!,0.9523809523809523
178,Happy birthdaz, file!,0.9523809523809523
179,Happy birthdaz, file!,0.9523809523809523
180,Happy birthdaz, file!,0.9523809523809523
181,Happy birthdaz, file!,0.9523809523809523
182,Happy birthdaz, file!,0.9523809523809523
183,Happy birthdaz, filew,0.9047619047619048
184,Happy birthdaz, filew,0.9047619047619048
185,Happy birthdaQ, fileJ,0.9047619047619048
186,Happy birthdaz, filew,0.9047619047619048
187,Happy birthdaz, filew,0.9047619047619048
188,Happy birthdaz, filew,0.9047619047619048
189,Happy birthdaz, filew,0.9047619047619048
190,Happy birthdaz, filef,0.9047619047619048
191,Happy birthdaz, filew,0.9047619047619048
192,Happy birthdaz, filew,0.9047619047619048
193,Happy birthdaz, fileJ,0.9047619047619048
194,Happy birthdaz, fileJ,0.9047619047619048
195,Happy birthdaz, filew,0.9047619047619048
196,Happy birthdaz, filew,0.9047619047619048
197,Happy birthdaz, filew,0.9047619047619048
198,Happy birthday, filef,0.9523809523809523
199,Happy birthday, filef,0.9523809523809523
200,Happy birthday, filef,0.9523809523809523
201,Happy birthdaa, file!,0.9523809523809523
202,Happy birthdaa, file!,0.9523809523809523
203,Happy birthday, filew,0.9523809523809523
204,Happy birthday, filew,0.9523809523809523
205,Happy birthdaa, file!,0.9523809523809523
206,Happy birthdaa, file!,0.9523809523809523
207,Happy birthday, filew,0.9523809523809523
208,Happy birthday, filew,0.9523809523809523
209,Happy birthday, filew,0.9523809523809523
210,Happy birthday, filew,0.9523809523809523
211,Happy birthday, filew,0.9523809523809523
212,Happy birthday, filew,0.9523809523809523
213,Happy birthday, filew,0.9523809523809523
214,Happy birthday, filew,0.9523809523809523
215,Happy birthday, filew,0.9523809523809523
216,Happy birthday, filew,0.9523809523809523
217,Happy birthday, filew,0.9523809523809523
218,Happy birthday, filew,0.9523809523809523
219,Happy birthday, filew,0.9523809523809523
220,Happy birthday, filew,0.9523809523809523
221,Happy birthday, fileJ,0.9523809523809523
222,Happy birthday, filey,0.9523809523809523
223,Happy birthday, fileJ,0.9523809523809523
224,Happy birthday, fileJ,0.9523809523809523
225,Happy birthday, fileJ,0.9523809523809523
226,Happy birthday, fileJ,0.9523809523809523
227,Happy birthday, fileJ,0.9523809523809523
228,Happy birthdaz, filew,0.9047619047619048
229,Happy birthdaz, file!,0.9523809523809523
230,Happy birthdaz, file!,0.9523809523809523
231,Happy birthdaz, file!,0.9523809523809523
232,Happy birthdaz, file!,0.9523809523809523
233,Happy birthdaz, file!,0.9523809523809523
234,Happy birthdaz, file!,0.9523809523809523
235,Happy birthdaz, file!,0.9523809523809523
236,Happy birthdaz, file!,0.9523809523809523
237,Happy birthdaz, file!,0.9523809523809523
238,Happy birthdaz, file!,0.9523809523809523
239,Happy birthdaz, file!,0.9523809523809523
240,Happy birthdaz, file!,0.9523809523809523
241,Happy birthdaz, file!,0.9523809523809523
242,Happy birthdaz, file!,0.9523809523809523
243,Happy birthdaz, file!,0.9523809523809523
244,Happy birthdaz, file!,0.9523809523809523
245,Happy birthdaz, file!,0.9523809523809523
246,Happy birthdaz, file!,0.9523809523809523
247,Happy birthdaz, file!,0.9523809523809523
248,Happy birthdaz, file!,0.9523809523809523
249,Happy birthdaz, file!,0.9523809523809523
250,Happy birthdaz, file!,0.9523809523809523
251,Happy birthdaz, file!,0.9523809523809523
252,Happy birthdaB, file!,0.9523809523809523
253,Happy birthdaz, file!,0.9523809523809523
254,Happy birthdaB, file!,0.9523809523809523
255,Happy birthdaB, file!,0.9523809523809523
256,Happy birthdaZ, file!,0.9523809523809523
257,Happy birthdaB, file!,0.9523809523809523
258,Happy birthdaz, file!,0.9523809523809523
259,Happy birthdaZ, file!,0.9523809523809523
260,Happy birthdaz, file!,0.9523809523809523
261,Happy birthdaz, file!,0.9523809523809523
262,Happy birthdaz, file!,0.9523809523809523
263,Happy birthdaz, file!,0.9523809523809523
264,Happy birthdaz, file!,0.9523809523809523
265,Happy birthdaz, file!,0.9523809523809523
266,Happy birthdaz, file!,0.9523809523809523
267,Happy birthdaz, file!,0.9523809523809523
268,Happy birthdaz, file!,0.9523809523809523
269,Happy birthdaz, file!,0.9523809523809523
270,Happy birthdaz, file!,0.9523809523809523
271,Happy birthdaz, file!,0.9523809523809523
272,Happy birthdaz, file!,0.9523809523809523
273,Happy birthdaz, file!,0.9523809523809523
274,Happy birthdaz, file!,0.9523809523809523
275,Happy birthdaz, file!,0.9523809523809523
276,Happy birthdaz, file!,0.9523809523809523
277,Happy birthdaz, file!,0.9523809523809523
278,Happy birthdaz, file!,0.9523809523809523
279,Happy birthdaz, file!,0.9523809523809523
280,Happy birthdaz, file!,0.9523809523809523
281,Happy birthdaz, file!,0.9523809523809523
282,Happy birthdaz, file!,0.9523809523809523
283,Happy birthdaz, file!,0.9523809523809523
284,Happy birthdaz, file!,0.9523809523809523
285,Happy birthdaz, file!,0.9523809523809523
286,Happy birthdaz, file!,0.9523809523809523
287,Happy birthdaz, file!,0.9523809523809523
288,Happy birthdaz, file!,0.9523809523809523
289,Happy birthdaz, file!,0.9523809523809523
290,Happy birthdaz, file!,0.9523809523809523
291,Happy birthdaz, file!,0.9523809523809523
292,Happy birthdaz, file!,0.9523809523809523
293,Happy birthdaz, file!,0.9523809523809523
294,Happy birthdaz, file!,0.9523809523809523
295,Happy birthdak, file!,0.9523809523809523
296,Happy birthdaz, file!,0.9523809523809523
297,Happy birthdaz, file!,0.9523809523809523
298,Happy birthdaz, file!,0.9523809523809523
299,Happy birthdaz, file!,0.9523809523809523
300,Happy birthdaz, file!,0.9523809523809523
301,Happy birthdaz, file!,0.9523809523809523
302,Happy birthdaz, file!,0.9523809523809523
303,Happy birthdaz, file!,0.9523809523809523
304,Happy birthdaz, file!,0.9523809523809523
305,Happy birthdaz, file!,0.9523809523809523
306,Happy birthdaz, file!,0.9523809523809523
307,Happy birthdak, file!,0.9523809523809523
308,Happy birthdaz, file!,0.9523809523809523
309,Happy birthdas, file!,0.9523809523809523
310,Happy birthdaz, file!,0.9523809523809523
311,Happy birthdaz, file!,0.9523809523809523
312,Happy birthdaz, file!,0.9523809523809523
313,Happy birthdaz, file!,0.9523809523809523
314,Happy birthdaz, file!,0.9523809523809523
315,Happy birthdaz, file!,0.9523809523809523
316,Happy birthdaz, file!,0.9523809523809523
317,Happy birthdaz, file!,0.9523809523809523
318,Happy birthdaz, file!,0.9523809523809523
319,Happy birthdaz, file!,0.9523809523809523
320,Happy birthdas, file!,0.9523809523809523
321,Happy birthdaz, file!,0.9523809523809523
322,Happy birthdal, file!,0.9523809523809523
323,Happy birthdaz, file!,0.9523809523809523
324,Happy birthdaz, file!,0.9523809523809523
325,Happy birthday, file!,1.0
