1,Ga,kWEbVJtdyf,YBwfJZ!,0.19047619047619047
2,HQph!EbVJehxenLBehgyg,0.19047619047619047
3,mHR!aObirVxHVcJpRiPNE,0.19047619047619047
4,HhmqpGbTPbmEWWF fEElX,0.19047619047619047
163,Happy birthdaa, oiVe!,0.8571428571428571
164,Happy birthdaa, oiVe!,0.8571428571428571
165,Happy birthdaa, oiVe!,0.8571428571428571
166,Happy birthdaa, DiVe!,0.8571428571428571
167,Happy birthdaa, oiVe!,0.8571428571428571
168,Happy birthdaa, DiVe!,0.8571428571428571
169,Happy birthdaa, DiVe!,0.8571428571428571
170,Happy birthdaa, PiIe!,0.8571428571428571
171,Happy birthdaa, DiVe!,0.8571428571428571
172,Happy birthdaa, PiIe!,0.8571428571428571
173,Happy birthdaa, DiVe!,0.8571428571428571
174,Happy birthdaa, DiVe!,0.8571428571428571
175,Happy birthdaa, Pile!,0.9047619047619048
176,Happy birthdaa, DiVe!,0.8571428571428571
177,Happy birthdaa, DiVe!,0.8571428571428571
178,Happy birthdaa, oiVe!,0.8571428571428571
179,Happy birthdaa, DiVe!,0.8571428571428571
180,Happy birthdaa, DiVe!,0.8571428571428571
181,Happy birthdaa, DiVe!,0.8571428571428571
182,Happy birthdaQ, Pile!,0.9047619047619048
183,Happy birthdaQ, Pile!,0.9047619047619048
184,Happy birthdaQ, Pile!,0.9047619047619048
185,Happy birthdaQ, Pile!,0.9047619047619048
186,Happy birthdaQ, Pile!,0.9047619047619048
187,Happy birthdaa, Pile!,0.9047619047619048
188,Happy birthdaa, Pile!,0.9047619047619048
189,Happy birthdaa, Pile!,0.9047619047619048
190,Happy birthdaa, Pile!,0.9047619047619048
191,Happy birthday, PiVe!,0.9047619047619048
192,Happy birthday, PiVe!,0.9047619047619048
193,Happy birthday, PiVe!,0.9047619047619048
194,Happy birthdaa, oiVe!,0.8571428571428571
195,Happy birthdaa, Diue!,0.8571428571428571
196,Happy birthdaa, DiVe!,0.8571428571428571
197,Happy birthdaa, DiVe!,0.8571428571428571
198,Happy birthdaa, PilD!,0.8571428571428571
199,Happy birthdaa, DiVe!,0.8571428571428571
200,Happy birthdaa, oiVe!,0.8571428571428571
201,Happy birthdaa, tiRe!,0.8571428571428571
202,Happy birthdaa, DiVe!,0.8571428571428571
203,Happy birthdaa, Pile!,0.9047619047619048
204,Happy birthdaa, Dile!,0.9047619047619048
205,Happy birthdaa, Dile!,0.9047619047619048
206,Happy birthdaa, Dile!,0.9047619047619048
207,Happy birthdaa, Dile!,0.9047619047619048
208,Happy birthdaa, Dile!,0.9047619047619048
209,Happy birthdaa, Dile!,0.9047619047619048
210,Happy birthdaa, Dile!,0.9047619047619048
211,Happy birthdaa, Pile!,0.9047619047619048
212,Happy birthdaf, Pile!,0.9047619047619048
213,Happy birthdaf, Dile!,0.9047619047619048
214,Happy birthdaf, Dile!,0.9047619047619048
215,Happy birthdaa, Pile!,0.9047619047619048
216,Happy birthdaa, Pile!,0.9047619047619048
217,Happy birthdaa, Pile!,0.9047619047619048
218,Happy birthdaa, Pile!,0.9047619047619048
219,Happy birthdaa, Pile!,0.9047619047619048
220,Happy birthdaa, Pile!,0.9047619047619048
221,Happy birthdaa, Pile!,0.9047619047619048
222,Happy birthdaa, Pile!,0.9047619047619048
223,Happy birthdaa, Pile!,0.9047619047619048
224,Happy birthdaa, Pile!,0.9047619047619048
225,Happy birthdaa, Pile!,0.9047619047619048
226,Happy birthdaa, Pile!,0.9047619047619048
227,Happy birthdaa, Pile!,0.9047619047619048
228,Happy birthdaa, Pile!,0.9047619047619048
229,Happy birthdaa, Pile!,0.9047619047619048
230,Happy birthdaa, Pile!,0.9047619047619048
231,Happy birthdaa, Pile!,0.9047619047619048
232,Happy birthdaa, Dile!,0.9047619047619048
233,Happy birthdaa, Pile!,0.9047619047619048
234,Happy birthdaa, Dile!,0.9047619047619048
235,Happy birthdaa, Pile!,0.9047619047619048
236,Happy birthdaa, Pile!,0.9047619047619048
237,Happy birthdaa, Dile!,0.9047619047619048
238,Happy birthdaa, Dile!,0.9047619047619048
239,Happy birthdaa, Pile!,0.9047619047619048
240,Happy birthdaa, Bile!,0.9047619047619048
241,Happy birthdaa, Pile!,0.9047619047619048
242,Happy birthdaa, Dile!,0.9047619047619048
243,Happy birthdaV, Pile!,0.9047619047619048
244,Happy birthdaa, Pile!,0.9047619047619048
245,Happy birthdaa, Pile!,0.9047619047619048
246,Happy birthdaa, Dile!,0.9047619047619048
247,Happy birthdaa, Bile!,0.9047619047619048
248,Happy birthdaa, Dile!,0.9047619047619048
249,Happy birthdaa, Dile!,0.9047619047619048
250,Happy birthdaa, Dile!,0.9047619047619048
251,Happy birthdaa, Pile!,0.9047619047619048
252,Happy birthdaa, Pile!,0.9047619047619048
253,Happy birthdaa, Dile!,0.9047619047619048
254,Happy birthdaV, Pile!,0.9047619047619048
255,Happy birthdaa, Dile!,0.9047619047619048
256,Happy birthdaa, Pile!,0.9047619047619048
257,Happy birthdaM, Dile!,0.9047619047619048
258,Happy birthdaa, Bile!,0.9047619047619048
259,Happy birthdaa, Pile!,0.9047619047619048
260,Happy birthdaa, Dile!,0.9047619047619048
261,Happy birthdaa, Pile!,0.9047619047619048
262,Happy birthdaa, Pile!,0.9047619047619048
263,Happy birthdaa, Pile!,0.9047619047619048
264,Happy birthdaa, Dile!,0.9047619047619048
265,Happy birthdaV, Pile!,0.9047619047619048
266,Happy birthdaa, Dile!,0.9047619047619048
267,Happy birthdaa, Pile!,0.9047619047619048
268,Happy birthdaa, Bile!,0.9047619047619048
269,Happy birthdaa, Dile!,0.9047619047619048
270,Happy birthdaa, Dile!,0.9047619047619048
271,Happy birthdaa, Pile!,0.9047619047619048
272,Happy birthdaa, nile!,0.9047619047619048
273,Happy birthdaa, Bile!,0.9047619047619048
274,Happy birthdaa, Dile!,0.9047619047619048
275,Happy birthdaa, Dile!,0.9047619047619048
276,Happy birthdaa, Dile!,0.9047619047619048
277,Happy birthdaa, Dile!,0.9047619047619048
278,Happy birthdaa, Bile!,0.9047619047619048
279,Happy birthdaa, Bile!,0.9047619047619048
280,Happy birthdaa, Dile!,0.9047619047619048
281,Happy birthdaa, Bile!,0.9047619047619048
282,Happy birthdaa, Pile!,0.9047619047619048
283,Happy birthdaa, Dile!,0.9047619047619048
284,Happy birthdaa, Bile!,0.9047619047619048
285,Happy birthdaa, nile!,0.9047619047619048
286,Happy birthdaa, Dile!,0.9047619047619048
287,Happy birthdaa, nile!,0.9047619047619048
288,Happy birthdaa, Pile!,0.9047619047619048
289,Happy birthdai, sile!,0.9047619047619048
290,Happy birthdaa, Pile!,0.9047619047619048
291,Happy birthdaa, Dile!,0.9047619047619048
292,Happy birthdaa, Dile!,0.9047619047619048
293,Happy birthdaa, Bile!,0.9047619047619048
294,Happy birthdaa, oile!,0.9047619047619048
295,Happy birthdaa, rile!,0.9047619047619048
296,Happy birthdau, Pile!,0.9047619047619048
297,Happy birthdaa, gile!,0.9047619047619048
298,Happy birthdaa, Dile!,0.9047619047619048
299,Happy birthdaa, Dile!,0.9047619047619048
300,Happy birthday, Pile!,0.9523809523809523
301,Happy birthday, Pile!,0.9523809523809523
302,Happy birthday, Pile!,0.9523809523809523
303,Happy birthday, Pile!,0.9523809523809523
304,Happy birthday, Pile!,0.9523809523809523
305,Happy birthday, Pile!,0.9523809523809523
306,Happy birthday, Pile!,0.9523809523809523
307,Happy birthday, Pile!,0.9523809523809523
308,Happy birthday, Pile!,0.9523809523809523
309,Happy birthdau, Pile!,0.9047619047619048
310,Happy birthdaf, Pile!,0.9047619047619048
311,Happy birthdaa, Pile!,0.9047619047619048
312,Happy birthdaa, Pile!,0.9047619047619048
313,Happy birthdaa, Pile!,0.9047619047619048
314,Happy birthdaa, Pile!,0.9047619047619048
315,Happy birthdaa, Pile!,0.9047619047619048
316,Happy birthdaa, Dile!,0.9047619047619048
317,Happy birthdaa, Dile!,0.9047619047619048
318,Happy birthdaa, iile!,0.9047619047619048
319,Happy birthdaa, nile!,0.9047619047619048
320,Happy birthdaF, Dile!,0.9047619047619048
321,Happy birthdaa, Pile!,0.9047619047619048
322,Happy birthdaa, Pile!,0.9047619047619048
323,Happy birthdau, Pile!,0.9047619047619048
324,Happy birthdaa, Dile!,0.9047619047619048
325,Happy birthdau, Pile!,0.9047619047619048
326,Happy birthdaa, Dile!,0.9047619047619048
327,Happy birthdaa, Cile!,0.9047619047619048
328,Happy birthday, Bile!,0.9523809523809523
329,Happy birthday, Bile!,0.9523809523809523
330,Happy birthday, Bile!,0.9523809523809523
331,Happy birthday, Bile!,0.9523809523809523
332,Happy birthday, Bile!,0.9523809523809523
333,Happy birthday, Bile!,0.9523809523809523
334,Happy birthdaa, Cile!,0.9047619047619048
335,Happy birthdaa, Cile!,0.9047619047619048
336,Happy birthdaa, Pile!,0.9047619047619048
337,Happy birthdaa, nile!,0.9047619047619048
338,Happy birthdaf, Cile!,0.9047619047619048
339,Happy birthdau, Zile!,0.9047619047619048
340,Happy birthdaa, Bile!,0.9047619047619048
341,Happy birthdaa, Bile!,0.9047619047619048
342,Happy birthdaa, Bile!,0.9047619047619048
343,Happy birthdaa, Bile!,0.9047619047619048
344,Happy birthdaM, Pile!,0.9047619047619048
345,Happy birthdaa, Cile!,0.9047619047619048
346,Happy birthdaa, Pile!,0.9047619047619048
347,Happy birthdaa, iile!,0.9047619047619048
348,Happy birthdaa, Bile!,0.9047619047619048
349,Happy birthdaa, Bile!,0.9047619047619048
350,Happy birthdaa, Pile!,0.9047619047619048
351,Happy birthdau, Gile!,0.9047619047619048
352,Happy birthdaM, Mile!,0.9047619047619048
353,Happy birthdaa, Bile!,0.9047619047619048
354,Happy birthdaa, Pile!,0.9047619047619048
355,Happy birthdaM, lile!,0.9047619047619048
356,Happy birthdaa, aile!,0.9047619047619048
357,Happy birthdaa, Bile!,0.9047619047619048
358,Happy birthdaa, Bile!,0.9047619047619048
359,Happy birthdaa, Oile!,0.9047619047619048
360,Happy birthdaa, Cile!,0.9047619047619048
361,Happy birthdaa, Cile!,0.9047619047619048
362,Happy birthdaa, nile!,0.9047619047619048
363,Happy birthdaa, Bile!,0.9047619047619048
364,Happy birthdaa, Bile!,0.9047619047619048
365,Happy birthdaa, Cile!,0.9047619047619048
366,Happy birthdaa, Pile!,0.9047619047619048
367,Happy birthdaa, Bile!,0.9047619047619048
368,Happy birthdaa, Cile!,0.9047619047619048
369,Happy birthdaa, Oile!,0.9047619047619048
370,Happy birthda,, file!,0.9523809523809523
371,Happy birthdaM, Bile!,0.9047619047619048
372,Happy birthdaa, Bile!,0.9047619047619048
373,Happy birthdaa, Bile!,0.9047619047619048
374,Happy birthdaD, lile!,0.9047619047619048
375,Happy birthdaa, Pile!,0.9047619047619048
376,Happy birthdaa, rile!,0.9047619047619048
377,Happy birthdaa, Cile!,0.9047619047619048
378,Happy birthdaM, Bile!,0.9047619047619048
379,Happy birthdaa, rile!,0.9047619047619048
380,Happy birthdaa, Cile!,0.9047619047619048
381,Happy birthdaa, Pile!,0.9047619047619048
382,Happy birthdaa, Bile!,0.9047619047619048
383,Happy birthdaa, Pile!,0.9047619047619048
384,Happy birthdaf, Vile!,0.9047619047619048
385,Happy birthdar, iile!,0.9047619047619048
386,Happy birthdaa, Cile!,0.9047619047619048
387,Happy birthdaa, Pile!,0.9047619047619048
388,Happy birthdaa, Pile!,0.9047619047619048
389,Happy birthdaa, Cile!,0.9047619047619048
390,Happy birthdaa, aile!,0.9047619047619048
391,Happy birthdaX, Bile!,0.9047619047619048
392,Happy birthdaa, Cile!,0.9047619047619048
393,Happy birthdaa, Bile!,0.9047619047619048
394,Happy birthdaa, Pile!,0.9047619047619048
395,Happy birthdaa, Pile!,0.9047619047619048
396,Happy birthdaa, Cile!,0.9047619047619048
397,Happy birthdaM, Pile!,0.9047619047619048
398,Happy birthdaa, aile!,0.9047619047619048
399,Happy birthdaa, Pile!,0.9047619047619048
400,Happy birthdaa, Oile!,0.9047619047619048
401,Happy birthdaa, Bile!,0.9047619047619048
402,Happy birthdaa, Cile!,0.9047619047619048
403,Happy birthdaM, Pile!,0.9047619047619048
404,Happy birthdaa, Pile!,0.9047619047619048
405,Happy birthdaM, Pile!,0.9047619047619048
406,Happy birthdaa, Sile!,0.9047619047619048
407,Happy birthdaM, Pile!,0.9047619047619048
408,Happy birthdaa, Cile!,0.9047619047619048
409,Happy birthdaa, Pile!,0.9047619047619048
410,Happy birthdaa, Pile!,0.9047619047619048
411,Happy birthdaa, Pile!,0.9047619047619048
412,Happy birthdaa, Bile!,0.9047619047619048
413,Happy birthdaa, Pile!,0.9047619047619048
414,Happy birthdaM, uile!,0.9047619047619048
415,Happy birthdaa, cile!,0.9047619047619048
416,Happy birthdaM, Bile!,0.9047619047619048
417,Happy birthdaa, Pile!,0.9047619047619048
418,Happy birthdaa, Bile!,0.9047619047619048
419,Happy birthdaa, cile!,0.9047619047619048
420,Happy birthdaa, Pile!,0.9047619047619048
421,Happy birthdaa, cile!,0.9047619047619048
422,Happy birthdaa, Pile!,0.9047619047619048
423,Happy birthdaa, Bile!,0.9047619047619048
424,Happy birthday, Pile!,0.9523809523809523
425,Happy birthday, Pile!,0.9523809523809523
426,Happy birthday, Pile!,0.9523809523809523
427,Happy birthdab, Bile!,0.9047619047619048
428,Happy birthdaM, iile!,0.9047619047619048
429,Happy birthdaa, Bile!,0.9047619047619048
430,Happy birthdaM, Pile!,0.9047619047619048
431,Happy birthdaa, iile!,0.9047619047619048
432,Happy birthday, jile!,0.9523809523809523
433,Happy birthday, jile!,0.9523809523809523
434,Happy birthday, jile!,0.9523809523809523
435,Happy birthday, jile!,0.9523809523809523
436,Happy birthday, jile!,0.9523809523809523
437,Happy birthday, jile!,0.9523809523809523
438,Happy birthday, jile!,0.9523809523809523
439,Happy birthday, jile!,0.9523809523809523
440,Happy birthday, jile!,0.9523809523809523
441,Happy birthday, jile!,0.9523809523809523
442,Happy birthday, jile!,0.9523809523809523
443,Happy birthday, jile!,0.9523809523809523
444,Happy birthday, jile!,0.9523809523809523
445,Happy birthday, jile!,0.9523809523809523
446,Happy birthday, jile!,0.9523809523809523
447,Happy birthday, jile!,0.9523809523809523
448,Happy birthday, jile!,0.9523809523809523
449,Happy birthday, Dile!,0.9523809523809523
450,Happy birthday, Dile!,0.9523809523809523
451,Happy birthday, jile!,0.9523809523809523
452,Happy birthday, jile!,0.9523809523809523
453,Happy birthday, Dile!,0.9523809523809523
454,Happy birthday, Dile!,0.9523809523809523
455,Happy birthday, Dile!,0.9523809523809523
456,Happy birthday, Dile!,0.9523809523809523
457,Happy birthday, Dile!,0.9523809523809523
458,Happy birthday, Dile!,0.9523809523809523
459,Happy birthday, Dile!,0.9523809523809523
460,Happy birthday, Dile!,0.9523809523809523
461,Happy birthday, Dile!,0.9523809523809523
462,Happy birthday, Dile!,0.9523809523809523
463,Happy birthday, Dile!,0.9523809523809523
464,Happy birthday, Bile!,0.9523809523809523
465,Happy birthday, Dile!,0.9523809523809523
466,Happy birthday, Bile!,0.9523809523809523
467,Happy birthday, Dile!,0.9523809523809523
468,Happy birthday, Pile!,0.9523809523809523
469,Happy birthday, Pile!,0.9523809523809523
470,Happy birthday, Bile!,0.9523809523809523
471,Happy birthday, Bile!,0.9523809523809523
472,Happy birthday, Bile!,0.9523809523809523
473,Happy birthday, Pile!,0.9523809523809523
474,Happy birthday, Pile!,0.9523809523809523
475,Happy birthday, Pile!,0.9523809523809523
476,Happy birthday, Pile!,0.9523809523809523
477,Happy birthday, Dile!,0.9523809523809523
478,Happy birthday, Dile!,0.9523809523809523
479,Happy birthday, Pile!,0.9523809523809523
480,Happy birthday, iile!,0.9523809523809523
481,Happy birthday, Dile!,0.9523809523809523
482,Happy birthday, iile!,0.9523809523809523
483,Happy birthday, Dile!,0.9523809523809523
484,Happy birthday, Pile!,0.9523809523809523
485,Happy birthday, Pile!,0.9523809523809523
486,Happy birthday, Dile!,0.9523809523809523
487,Happy birthdaV, file!,0.9523809523809523
488,Happy birthday, Pile!,0.9523809523809523
489,Happy birthday, Dile!,0.9523809523809523
490,Happy birthday, Dile!,0.9523809523809523
491,Happy birthday, Dile!,0.9523809523809523
492,Happy birthday, Dile!,0.9523809523809523
493,Happy birthday, Dile!,0.9523809523809523
494,Happy birthday, Iile!,0.9523809523809523
495,Happy birthdaV, file!,0.9523809523809523
496,Happy birthdaV, file!,0.9523809523809523
497,Happy birthday, Bile!,0.9523809523809523
498,Happy birthday, Bile!,0.9523809523809523
499,Happy birthday, Dile!,0.9523809523809523
500,Happy birthday, file!,1.0
